step,accuracy01,accuracy01/std,loss,loss/mean,loss/std,lr,momentum
1,0.4218413573366441,0.20911984656914137,4.195272974571223,4.195272974571223,67.61115137158721,0.02,0.0
2,0.7646025320898592,0.08450889118838531,0.7402157401529857,0.7402157401529857,0.27966910704352016,0.02,0.0
3,0.8270260959517151,0.07193636091701747,0.5681544913831642,0.5681544913831642,0.25045860857514446,0.02,0.0
4,0.8582723279648606,0.0659159717272188,0.4750619206735592,0.4750619206735592,0.2319120547981669,0.02,0.0
5,0.8748772715610525,0.06071890027056198,0.4265017973525552,0.4265017973525552,0.2202522317177815,0.02,0.0
6,0.8843510464297105,0.05887155456705694,0.39450502730023695,0.39450502730023695,0.251973562305414,0.02,0.0
7,0.8950994746361198,0.053568895487820484,0.3629072835711108,0.3629072835711108,0.23335808407840353,0.02,0.0
8,0.9010765653259849,0.054624949281534003,0.3369686861297349,0.3369686861297349,0.2241853801393353,0.02,0.0
9,0.9083972095447275,0.05443958226466455,0.3155515608558794,0.3155515608558794,0.23356606091400067,0.02,0.0
10,0.9151322022251104,0.05078102483595944,0.296472388487969,0.296472388487969,0.21083790030728983,0.02,0.0
11,0.9171303074752706,0.04994773964856988,0.2941299226916269,0.2941299226916269,0.2384432222139951,0.02,0.0
12,0.9207647920075789,0.05031261750004858,0.27873412962274974,0.27873412962274974,0.24245518903377042,0.02,0.0
13,0.9234002239255875,0.0496229879270418,0.27023062013309723,0.27023062013309723,0.24071891882340082,0.02,0.0
14,0.9297218155197661,0.04656713885125164,0.25423090994286257,0.25423090994286257,0.23930728128038906,0.02,0.0
15,0.9337180260098188,0.04549018817963284,0.23634733333439342,0.23634733333439342,0.19507171347721658,0.02,0.0
16,0.933838601326328,0.04548230257240154,0.23312973785262656,0.23312973785262656,0.22081086333886887,0.02,0.0
17,0.9374558608247142,0.045795120274220336,0.23622410072984484,0.23622410072984484,0.295196650006656,0.02,0.0
18,0.9382482129015588,0.04453669222201806,0.23255032216264607,0.23255032216264607,0.2735865489944442,0.02,0.0
19,0.941090345370369,0.04327179060726206,0.24069381405406645,0.24069381405406645,0.5128261990883711,0.02,0.0
20,0.9410731203169405,0.04402198629745754,0.21295478123888825,0.21295478123888825,0.24058581855747227,0.02,0.0
21,0.9424855740328465,0.044163073272289056,0.21285639065440928,0.21285639065440928,0.2305018307704131,0.02,0.0
22,0.9416243217638441,0.0442787416265584,0.2241821521335482,0.2241821521335482,0.25981268831650106,0.02,0.0
23,0.9473085866932527,0.04148211130576259,0.1983749898556045,0.1983749898556045,0.24465876456240357,0.02,0.0
24,0.9474463870467646,0.040599212005018565,0.217635817036314,0.217635817036314,0.34266955195782706,0.02,0.0
25,0.9481526139006123,0.0411782924578729,0.21223316731461467,0.21223316731461467,0.29918052558293995,0.02,0.0
